name,observer,sell_rank,price,features,rating,nb_evaluation
FBT HIMaxX 60,            ,                9            ,    799,"Haut-parleur 15"" et tweeter 1,4"",Puissance: 700 Watt sous 8 Ohm,Dispersion: 90° x 60°,Enceinte en polypropylène,Œillet pour pied de montage,Montage aérien M10 (x4),Couleur: noir,Dimensions: 482 x 757 x 427 mm,Poids: 26 kg",4.6,2
LD Systems SAT 242 G2,            ,                27            ,    138,"Puissance: 100W RMS - 180W crête,Impédance: 8 Ohm,Réponse en fréquence: 75 Hz - 20 kHz,SPL max: 108 dB,Kit de montage mural inclus,Dimensions: 140 x 378 x 135 mm,Poids: 4,15 kg",4.8,6
JBL JRX 212,            ,                50            ,    198,"Puissance : 250 Watt RMS, 1000 Watt crête,Impédance : 8 Ohm,Réponse en fréquence : 60 Hz - 20 kHz,SPL Max : 128 dB,Entrée Speaker Twist et Jack,Double œillet pour pied d'enceinte,Dimensions : 584 x 399 x 325 mm,Poids : 19,5 kg",4.7,43
the box pro Achat 112 M,            ,                12            ,    359,"Équipement : haut-parleur de graves de 12"" et tweeter 1,4"" avec bobine mobile néodyme de 3"",Boîtier multifonctions,Puissance nominale : 350 Watt RMS / 1400 Watt Crête,Impédance : 8 Ohm,Niveau de pression sonore : 131 dB max.,Réponse en fréquence : 60 Hz - 18 kHz,Dispersion : 60° x 40° (cône orientable),Montage sur pied d'enceinte possible,Rail Aeroquip sur le côté supérieur,Python sur la face arrière,Dimensions : 360 x 610 x 360 mm,Poids : 21,0 kg,Finition : peinture noir texturée,Conçue en Allemagne,Housse de protection appropriée disponible en option, article n°: , (non fournie)",4.7,62
EV EKX-15,            ,                15            ,    514,"Rated power: 400 W / 1600 W (peak),Max. SPL (sound pressure level): 132 dB,Frequency response: 50 - 20,000 Hz,Coverage pattern: 90° x 60°,Impedance: 8 Ohm,Speaker Twist input and output,Dimensions: 685 x 432 x 429 mm,Weight: 23.2 kg,Sutiable protective covers available under Article Nr , and Article Nr , (both are not included)",5,6
the box CL 110 Top MK II,            ,                20            ,    277,"Puissance: 200W RMS - 800W crête,Impédance: 4 Ohm,Réponse en fréquence: 90 Hz - 19 kHz,SPL max: 120 dB,Entrée Speaker Twist,Plastique moulé noir,Montage sur pied d'enceinte (35 mm),Dimensions: 320 x 460 x 265 mm,Poids: 11 kg (22 kg la paire),Prix pour une paire,Paire de housses disponible en option, article n°: ",4.6,67
the box PA 502,            ,                21            ,    209,"Puissance: 300 Watt RMS/ 600 Watt crête,Réponse en fréquence: 35 Hz - 20 kHz (-10 dB),Sensibilité (1m/1W): 96 dB,SPL max: 121 dB,Dispersion: 50-100º x 55º,Connectique entrée / sortie Speaker Twist,Dimensions: 71,5 x 49,5 x 45 cm,Poids: 25,5 kg,Housse optionnelle, article nº: ",4.6,131
HK Audio Premium PR:O 10X,            ,                13            ,    299,"Équipement : 10"" + 1"",Dispersion pavillonnaire : 90° x 60°,Puissance : 300 Watt RMS,Impédance : 8 Ohm,Réponse en fréquence : 95 - 19 000 Hz,Niveau de pression acoustique maximal : 126 dB,Montage sur pied possible,3x points de montage M8,2 poignées,Connexions : 2x Speaker Twist,Dimensions : 320 x 480 x 290 mm,Poids : 12,9 kg",4.9,19
HK Audio Premium PR:O 08,            ,                41            ,    333,"Puissance: 300W sous 8 Ohm (RMS),Réponse en fréquence: 67 Hz -19 kHz,Dispersion: 80° x 80°,Entrée Speaker Twist,Sortie Speaker Twist,Œillet 35 mm pour pied d'enceinte et attache aérienne M8 (x3),Dimensions: 270 x 420 x 270 mm,Poids: 10 kg,Housse fournie",4.9,13
LD Systems SAT 82 G2,            ,                11            ,    158,"Puissance: 120W RMS - 200W crête,Impédance: 8 Ohm,Réponse en fréquence: 50 Hz - 20 kHz,SPL max: 114 dB,Pas de vis M6 pour montage aérien,Dimensions: 274 x 410 x 243 mm,Poids: 7 kg,Kit de montage mural inclus,Couleur: noir",4.6,14
