name,observer,sell_rank,price,features,rating,nb_evaluation
beyerdynamic DT-770 Pro 250 Ohm,384,                2            ,    129,"Circum-aural,Dynamique,Fermé,Impédance: 250 Ohm,SPL: 96 dB,Bande passante: 5 - 35000 Hz,Champ diffus,Câble torsadé de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids avec câble: 375 g,Poids sans câble 278 g,Sacoche incl.",4.8,2069
Shure SRH440,            ,                64            ,    75,"Fermé,Dynamique,Circum-aural,Aimant néodyme,SPL max.: 105 dB/V,Impédance: 44 Ohm,Bande passante: 10 - 22.000 Hz,Puissance admissible: 500 mW,Câble torsadé amovible de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 388 g,Poids sans câble: 315 g,Adaptateur vissable 3,5/6,3 mm et trousse incl.",4.4,237
beyerdynamic DT-770 Pro Softskin Set,            ,                56            ,    145,"Casque studio,Circum-aural,Dynamique,Fermé,Impédance: 250 Ohm,SPL: 96 dB,Bande passante: 5 - 35000 Hz,Champ diffus,Câble torsadé de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids avec câble: 375 g,Poids sans câble 278 g,Sacoche incl.,Paire de coussinets,En simili-cuir,Disques de mousse incl.,Couleur: Noir,N° Beyerdynamic: 904.783,DT-550,DT-880,DT-880S,DT-770M",,
Audio-Technica ATH-M30 X,            ,                32            ,    62,"Closed-back,Circumaural (full size),Dynamic,40 mm Drivers with rare earth magnets and copper-clad aluminum wire voice coils,90 Degrees swiveling earcups,Frequency Range: 15 - 22000 Hz,Maximum Power: 1300 mW at 1 kHZ,Impedance: 47 Ohm,Peak SPL: 98 dB,3m Cable with 3,5 mm stereo mini-jack,Single-side cable output,Weight (including cable): 265 g,Weight (excluding cable): 205 g,Colour: Black,Includes 6,3 mm adapter and carry pouch",4.5,141
AKG K-872,            ,                30            ,    999,"Fermé,Circum-aural,Impédance: 36 Ohm,Sensitivité: 112 dB SPL/V,Transducteurs 53 mm,Système d'aimant 1,5 Tesla,Bobines mobiles 2 couches ultra-légères,Bande passante: 5 - 54.000 Hz,Puissance admissible: 300 mW,Câble de 3 m,Fiche LEMO et fiche mini Jack 3,5 mm plaquée or,Poids sans câble: 390 g,Adaptateur 6,3 mm et étui incl.",4.8,23
Shure SRH840,            ,                41            ,    111,"Fermé,Dynamique,Circum-aural,Aimant néodyme,SPL max.: 102 dB/V,Impédance: 44 Ohm,Bande passante: 5 - 25.000 Hz,Puissance admissible: 1000 mW,Câble torsadé amovible de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 448 g,Poids sans câble: 376 g,Adaptateur vissable 3,5/6,3 mm, paire de coussinets et trousse incl.",4.6,220
beyerdynamic DT-150,            ,                53            ,    135,"Fermé,Dynamique,Circum-aural,Impédance: 250 Ohm,Bande passante: 5 - 30.000 Hz,SPL max.: 97 dB/IEC,Câble droit amovible de 3 m - K100.07,Poids avec câble: 385 g,Poids sans câble: 318 g,Couleur: Anthracite",4.8,141
AKG Podcaster Essentials Bundle,            ,                67            ,    222,"Comprend un casque studio AKG K-371 et un microphone USB AKG Lyra,Cours d'enregistrement en ligne en quatre parties de Berklee incl.,Transducteurs de 50 mm enduits de titane,Insonorisation extérieure élevée,Mécanisme de pliage innovant,Coussinets ovales en cuir artificiel,Cheminement de câble d'un seul côté,Circum-aural,Impédance: 32 Ohm,Sensibilité: 114 dB SPL/ V,Bande passante: 5 - 40000 Hz,Poids: 255 g,Câble droit de 3 m, câble droit de 1.2 m, câble torsadé de 3 m, adaptateur 6,3 mm et pochette de rangement incl.,Microphone USB Ultra-HD,4 caractéristiques sélectionnables,Spécialement adapté aux besoins des podcasteurs et des créateurs de contenu,Sortie casque intégrée pour un monitoring sans latence,4 caractéristiques directionnelles commutables: Avant, avant et arrière, stéréo serrée, stéréo large,Résolution: 24 bits/192 kHz,Réponse en fréquence: 20 Hz - 20 kHz,Pression acoustique max.: 129 dB SPL (0,5% THD),Sortie casque avec impédance nominale de 16 Ohm, puissance de sortie (RMS) de 43 mW et réponse en fréquence de 20 Hz à 22000 Hz,Rapport signal/bruit: 98 dB,THD: <0,009 %,Port USB 2.0 type C,Consommation électrique: 75 mA via USB,Poids: 1 kg,Plug n' Play sur PC et Mac via le pilote de classe,Plug n' Play pour les appareils iOS tels que l'iPhone et l'iPad avec le kit appareil photo d'Apple et l'alimentation externe (non fournie),Plug n' Play pour les appareils Android avec Android V9.x ou supérieur en combinaison avec un adaptateur OTG (non inclus)",5,2
AKG K-175,            ,                91            ,    49,"Transducteurs 40 mm,Fermé,Supra-aural,Impédance: 32 Ohm,Sensibilité: 114 dB SPL/V,Réponse en fréquence: 18 - 26000 Hz,Pression sonore caractéristique: 104 dB / V,Pliable,Câble d'un seul côté,Câble amovible de 5 m en spirale,Sac de transport inclus,Poids: 250 g",3.8,6
Audeze LCD-X Creator Leather Free,            ,                27            ,    1.290,"Version 2021,Ouvert,Circum-aural,Transducteurs de 106 mm,Aimants en néodyme,Impédance : 20 Ohm,Pande passante: 5 - 20000 Hz,SPL max.: 130 dB,Bandeau amélioré,Coussinets d'oreille en cuir artificiel,Câble de 1,9 m avec Jack 6,3 mm / mini XLR 4 broches incl.,Malette Economy Travel incl.",,
Audeze LCD-XC Creator Edition New,            ,                35            ,    1.490,"Nouveau serre-tête,Fermé,Circum-auriculaire,Transducteurs 106 mm,Aimants néodyme,Impédance : 20 Ohm,Réponse en fréquence : 5 - 50 000 Hz,Limite du niveau de pression acoustique : 130 dB,Coussinets en cuir véritable,Livré avec câble de 1,9 m avec fiches jack 6,3 mm et mini-XLR 4 broches",4.8,3
